id,crash,timestamp,bet_sum,player_count
7213062,2.22,1714657263,23992,22
7213061,1.31,1714657251,17682,23
7213060,1.42,1714657237,9146,21
7213059,1.19,1714657226,12313,23
7213058,4.23,1714657193,2474,21
7213057,1.14,1714657183,11066,21
7213056,4.67,1714657149,7095,23
7213055,2.05,1714657129,11740,22
7213054,2.1,1714657109,2637,20
7213053,5.18,1714657073,38501,22
7213052,1.95,1714657054,11617,23
7213051,3.35,1714657026,22107,24
7213050,1.15,1714657015,13026,24
7213049,1.0,1714657007,17785,23
7213048,1.93,1714656988,5214,23
7213047,1.13,1714656978,29297,22
7213046,1.79,1714656960,9091,21
7213045,15.18,1714656907,12017,24
7213044,1.1,1714656897,2556,22
7213043,5.2,1714656862,6347,24
7213042,1.5,1714656847,9716,26
7213041,1.77,1714656829,3886,24
7213040,1.35,1714656816,7945,25
7213039,10.51,1714656769,2485,21
7213038,187.39,1714656674,2149,22
7213037,1.46,1714656659,3922,23
7213036,1.7,1714656642,1097,21
7213035,2.37,1714656620,4324,21
7213034,278.9,1714656518,21399,24
7213033,5.48,1714656481,11364,22
7213032,3.02,1714656455,7602,23
7213031,3.82,1714656425,4207,24
7213030,2.67,1714656400,5645,24
7213029,4.61,1714656367,1915,22
7213028,1.48,1714656352,5055,23
7213027,6.42,1714656313,2306,22
7213026,1.92,1714656294,4474,23
7213025,1.87,1714656275,1506,21
7213024,1.39,1714656262,11563,21
7213023,14.3,1714656209,7872,23
7213022,5.48,1714656173,5735,23
7213021,4.3,1714656141,4600,22
7213020,4.55,1714656107,1584,22
7213019,1.66,1714656091,1948,20
7213018,4.04,1714656059,5511,24
7213017,1.01,1714656051,6282,26
7213016,2.18,1714656030,3437,25
7213015,2.01,1714656010,1858,23
7213014,1.28,1714655998,3609,24
7213013,4.39,1714655965,8243,26
7213012,4.82,1714655931,12784,25
7213011,1.26,1714655919,84799,25
7213010,18.11,1714655863,36782,28
7213009,2.0,1714655843,14469,24
7213008,1.45,1714655829,8476,23
7213007,39.98,1714655759,7899,25
7213006,1.43,1714655745,3052,21
7213005,1.09,1714655736,13332,24
7213004,3.82,1714655705,8491,25
7213003,2.78,1714655680,2894,22
7213002,2.05,1714655660,4288,22
7213001,4.22,1714655628,3690,22
7213000,1.05,1714655619,9926,24
7212999,31.57,1714655553,3291,21
7212998,11.7,1714655504,2242,23
7212997,1.48,1714655490,4827,22
7212996,1.61,1714655474,17355,24
7212995,3.57,1714655444,15827,21
7212994,3.04,1714655418,5015,24
7212993,1.12,1714655408,3973,23
7212992,1.24,1714655396,2998,23
7212991,1.75,1714655379,5718,24
7212990,2.11,1714655358,1226,19
7212989,1.06,1714655349,5083,20
7212988,403.76,1714655241,3528,21
7212987,3.48,1714655212,2837,21
7212986,2.03,1714655192,1857,20
7212985,1.53,1714655177,1475,19
7212984,1.5,1714655162,5821,20
7212983,3.22,1714655135,3850,22
7212982,2.13,1714655114,2242,19
7212981,21.65,1714655055,3300,21
7212980,1.28,1714655042,5000,20
7212979,6.17,1714655004,2646,22
7212978,5.29,1714654968,53141,26
7212977,1.61,1714654952,7868,23
7212976,3.2,1714654925,6347,24
7212975,2.03,1714654905,3271,22
7212974,1.97,1714654885,7810,22
7212973,60.82,1714654809,6245,20
7212972,3.37,1714654781,13928,21
7212971,1.04,1714654772,10938,21
7212970,1.2,1714654761,6575,22
7212969,1.09,1714654751,31606,27
7212968,2.05,1714654731,4449,23
7212967,2.38,1714654708,10529,23
7212966,1.65,1714654692,4891,22
7212965,1.52,1714654677,5731,22
7212964,1.39,1714654663,2921,21
7212963,1.03,1714654655,1556,20
7212962,1.52,1714654639,2167,19
7212961,2.86,1714654614,4534,23
7212960,1.46,1714654599,2086,21
7212959,0.0,1714654591,3481,22
7212958,2.09,1714654571,2676,22
7212957,9.27,1714654526,2328,21
7212956,1.49,1714654511,3132,21
7212955,27.56,1714654448,1762,20
7212954,1.43,1714654434,3802,21
7212953,12.32,1714654384,2766,24
7212952,2.55,1714654360,4658,23
7212951,1.31,1714654348,1801,22
7212950,1.57,1714654332,12752,24
7212949,1.37,1714654319,2230,21
7212948,23.14,1714654258,7104,22
7212947,1.01,1714654250,3610,23
7212946,1.1,1714654240,2457,23
7212945,1.51,1714654225,1979,24
7212944,1.72,1714654208,6026,24
7212943,2.01,1714654188,3506,23
7212942,2.03,1714654168,3039,23
7212941,6.27,1714654130,5633,23
7212940,1.08,1714654120,2404,23
7212939,1.3,1714654108,14517,26
7212938,2.25,1714654086,3548,23
7212937,2.4,1714654063,4073,21
7212936,1.15,1714654053,2208,19
7212935,1.67,1714654036,4094,19
7212934,23.1,1714653976,5248,22
7212933,2.93,1714653950,3982,24
7212932,1.09,1714653940,1805,24
7212931,1.94,1714653921,4889,25
7212930,2.07,1714653901,1383,21
7212929,0.0,1714653893,7745,23
7212928,6.88,1714653853,6080,24
7212927,4.34,1714653820,2660,24
7212926,5.49,1714653784,4053,24
7212925,1.16,1714653773,3121,23
7212924,7.4,1714653732,2865,23
7212923,1.07,1714653723,4444,24
7212922,23.04,1714653662,1704,24
7212921,1.97,1714653643,2755,23
7212920,1.7,1714653626,2864,23
7212919,3.35,1714653598,3661,23
7212918,1.3,1714653585,35587,23
7212917,3.16,1714653558,18150,24
7212916,14.81,1714653505,11822,25
7212915,5.69,1714653468,7602,25
7212914,2.53,1714653444,4472,24
7212913,8.76,1714653400,6632,27
7212912,2.52,1714653377,4994,26
7212911,1.42,1714653363,6399,26
7212910,10.95,1714653315,4132,23
7212909,1.11,1714653305,2770,24
7212908,4.38,1714653272,3739,24
7212907,1.1,1714653263,9439,26
7212906,3.27,1714653235,4009,25
7212905,1.34,1714653222,12709,26
7212904,2.28,1714653200,13267,26
7212903,4.44,1714653167,8279,27
7212902,8.81,1714653123,6212,26
7212901,4.5,1714653090,8878,27
7212900,1.55,1714653074,8405,27
7212899,1.32,1714653061,3379,25
7212898,1.06,1714653052,4187,25
7212897,1.48,1714653038,7857,25
7212896,10.47,1714652990,12695,24
7212895,1.35,1714652977,9081,24
7212894,1.23,1714652966,7711,25
7212893,1.0,1714652958,7665,26
7212892,1.1,1714652948,4089,26
7212891,1.2,1714652937,7593,26
7212890,3.89,1714652906,87793,24
7212889,1.58,1714652890,45056,24
7212888,1.31,1714652877,23466,26
7212887,1.47,1714652863,16038,28
7212886,1.9,1714652844,7256,24
7212885,1.14,1714652834,9386,27
7212884,1.48,1714652819,5572,26
7212883,1.05,1714652810,5536,25
7212882,1.77,1714652792,2504,23
7212881,1.19,1714652781,2252,22
7212880,2.62,1714652757,6403,25
7212879,5.37,1714652721,3384,23
7212878,2.66,1714652697,4079,22
7212877,3.02,1714652670,6066,24
7212876,4.67,1714652637,6313,25
7212875,15.52,1714652583,4803,24
7212874,15.27,1714652529,13754,25
7212873,2.49,1714652506,16666,21
7212872,8.11,1714652463,73413,27
7212871,1.14,1714652453,23316,27
7212870,1.97,1714652433,67797,27
7212869,1.06,1714652424,19382,26
7212868,1.56,1714652409,18597,25
7212867,1.03,1714652400,5607,23
7212866,2.63,1714652376,18263,22
7212865,3.31,1714652348,20926,26
7212864,1.65,1714652331,17017,26
7212863,2.34,1714652309,67545,27
7212862,1.18,1714652298,20706,27
7212861,1.4,1714652285,16953,24
7212860,4.99,1714652250,64853,28
7212859,1.14,1714652239,17646,27
7212858,2.43,1714652217,65998,29
7212857,1.04,1714652208,26535,28
7212856,2.22,1714652186,16158,25
7212855,4.97,1714652152,35539,28
7212854,2.45,1714652129,7067,26
7212853,2.95,1714652102,18347,25
7212852,3.38,1714652074,37057,27
7212851,1.09,1714652064,19115,26
7212850,1.41,1714652051,42338,27
7212849,3.87,1714652020,13439,28
7212848,6.73,1714651980,23622,27
7212847,154.93,1714651888,18703,22
7212846,8.7,1714651844,7429,24
7212845,4.63,1714651810,1577,21
7212844,1.5,1714651796,14911,25
7212843,3.77,1714651765,6738,24
7212842,2.82,1714651740,23858,26
7212841,2.02,1714651720,6101,23
7212840,3.5,1714651691,28962,27
7212839,2.46,1714651668,78924,24
7212838,1.14,1714651658,51049,29
7212837,1.73,1714651641,135551,27
7212836,1.36,1714651627,73086,26
7212835,1.12,1714651617,24063,27
7212834,2.34,1714651595,9143,24
7212833,1.95,1714651576,33626,23
7212832,7.35,1714651535,3483,24
7212831,1.73,1714651517,1104,22
7212830,1.73,1714651500,4926,27
