id,crash,timestamp,bet_sum,player_count
7221078,1.33,1714854381,3698,-1
7221077,3.91,1714854350,2575,-1
7221076,1.52,1714854335,1519,-1
7221075,1.69,1714854318,1757,-1
7221074,2.07,1714854298,11512,-1
7221073,1.38,1714854285,11391,-1
7221072,4.04,1714854253,2320,-1
7221071,1.03,1714854245,1614,-1
7221070,1.4,1714854231,1010,-1
7221069,4.18,1714854199,1179,-1
7221068,2.18,1714854178,1868,-1
7221067,1.25,1714854166,849,-1
7221066,3.82,1714854136,5669,-1
7221065,1.14,1714854125,3019,-1
7221064,4.05,1714854094,834,-1
7221063,30.86,1714854029,2260,-1
7221062,1.01,1714854020,1298,-1
7221061,1.52,1714854005,8827,-1
7221060,3.53,1714853976,4813,-1
7221059,10.24,1714853929,2818,-1
7221058,24.01,1714853868,4136,-1
7221057,2.06,1714853848,1842,-1
7221056,2.39,1714853826,1274,-1
7221055,1.29,1714853813,1302,-1
7221054,18.77,1714853756,1784,-1
7221053,1.14,1714853746,2295,-1
7221052,2.46,1714853723,9232,-1
7221051,4.02,1714853692,59217,-1
7221050,1.05,1714853683,14734,-1
7221049,2.54,1714853659,7855,-1
7221048,2.04,1714853639,14599,-1
7221047,1.54,1714853624,212041,-1
7221046,29.44,1714853560,32755,-1
7221045,8.21,1714853516,15211,-1
7221044,1.21,1714853505,12643,-1
7221043,1.77,1714853487,10960,-1
7221042,1.29,1714853475,9490,-1
7221041,15.8,1714853421,18507,-1
7221040,2.12,1714853400,21034,-1
7221039,1.0,1714853392,24788,-1
7221038,1.93,1714853373,53540,-1
7221037,1.84,1714853355,188360,-1
7221036,3.64,1714853325,12450,-1
7221035,1.9,1714853307,31749,-1
7221034,3.8,1714853276,23133,-1
7221033,6.17,1714853238,14635,-1
7221032,1.13,1714853228,16205,-1
7221031,7.08,1714853187,141871,-1
7221030,6.88,1714853147,17973,-1
7221029,15.34,1714853093,14254,-1
7221028,1.37,1714853080,110782,-1
7221027,3.0,1714853054,13857,-1
7221026,4.41,1714853021,39284,-1
7221025,1.85,1714853002,20948,-1
7221024,1.09,1714852993,11432,-1
7221023,1.18,1714852982,10159,-1
7221022,1.72,1714852965,12315,-1
7221021,1.02,1714852956,10249,-1
7221020,1.8,1714852938,16345,-1
7221019,5.12,1714852903,68146,-1
7221018,1.11,1714852893,35815,-1
7221017,1.88,1714852875,28665,-1
7221016,1.32,1714852862,86828,-1
7221015,1.46,1714852847,19378,-1
7221014,1.26,1714852835,22808,-1
7221013,1.78,1714852818,29628,-1
7221012,14.98,1714852765,31950,-1
7221011,1.39,1714852751,25161,-1
7221010,1.44,1714852737,35101,-1
7221009,1.32,1714852724,26665,-1
7221008,16.38,1714852669,49395,-1
7221007,7.34,1714852628,25010,-1
7221006,1.03,1714852619,23519,-1
7221005,2.87,1714852594,28183,-1
7221004,1.21,1714852582,26966,-1
7221003,1.88,1714852564,28090,-1
7221002,2.73,1714852539,38589,-1
7221001,1.02,1714852530,18497,-1
7221000,1.61,1714852514,24724,-1
7220999,1.39,1714852501,18707,-1
7220998,1.18,1714852490,24820,-1
7220997,1.81,1714852472,31950,-1
7220996,3.5,1714852443,22123,-1
7220995,1.16,1714852432,21833,-1
7220994,1.29,1714852420,2696,-1
7220993,8.22,1714852377,18032,-1
7220992,2.41,1714852354,24330,-1
7220991,8.61,1714852310,48460,-1
7220990,1.07,1714852301,38022,-1
7220989,1.81,1714852283,13205,-1
7220988,1.95,1714852264,11404,-1
7220987,1.13,1714852253,19393,-1
7220986,7.51,1714852212,15082,-1
7220985,2.34,1714852190,37989,-1
7220984,7.58,1714852148,11157,-1
7220983,1.42,1714852134,12586,-1
7220982,9.51,1714852088,12107,-1
7220981,1.64,1714852072,12150,-1
7220980,1.86,1714852053,14977,-1
7220979,3.65,1714852024,39275,-1
7220978,1.88,1714852005,2930,-1
7220977,13.63,1714851954,13170,-1
7220976,2.01,1714851934,1141,-1
7220975,6.29,1714851895,11192,-1
7220974,1.11,1714851885,12890,-1
7220973,2.43,1714851862,11105,-1
7220972,1.76,1714851845,15024,-1
7220971,3.43,1714851816,64295,-1
7220970,1.7,1714851799,26064,-1
7220969,5.08,1714851764,13231,-1
