gameId,crash
5948707,4.98
5948708,55.72
5948709,8.45
5948710,4.81
5948711,1.57
5948712,2.52
5948713,1.04
5948714,2.72
5948715,1.84
5948716,2.22
5948717,4.87
5948718,1.03
5948719,2.06
5948720,1.88
5948721,16.31
5948722,3.7
5948723,1.03
5948724,1.31
5948725,2.58
5948726,1.21
5948727,11.86
5948728,5.34
5948729,1.2
5948730,1.3
5948731,1.08
5948732,1.2
5948733,2.15
5948734,4.19
5948735,3.31
5948736,3.26
5948737,2.29
5948738,3.86
5948739,3.9
5948740,8.04
5948741,1.95
5948742,2.17
5948743,1.74
5948744,5.11
5948745,2.53
5948746,2.3
5948747,2.53
5948748,2.35
5948749,1.03
5948750,12.31
5948751,2.91
5948752,1.31
5948753,1.66
5948754,1.48
5948755,1.41
5948756,2.3
5948757,1.4
5948758,3.45
5948759,1.08
5948760,6.13
5948761,6.52
5948762,3.29
5948763,7.67
5948764,1.44
5948765,18.25
5948766,7.77
5948767,1.58
5948768,12.12
5948769,30.1
5948770,2.06
5948771,1.04
5948772,1.6
5948773,42.69
5948774,1.33
5948775,6.05
5948776,1.79
5948777,16.12
5948778,7.56
5948779,5.47
5948780,1.04
5948781,2.61
5948782,2.16
5948783,1.13
5948784,1.11
5948785,2.48
5948786,5.08
5948787,1.41
5948788,2.7
5948789,1.71
5948790,1.66
5948791,3.04
5948792,1.12
5948793,2.81
5948794,2.05
5948795,9.46
5948796,1.09
5948797,1.15
5948798,12.97
5948799,3.04
5948800,2.9
5948801,1.05
5948802,2.42
5948803,1.22
5948804,1.37
5948805,1.89
5948806,2.59
5948807,1.96
5948808,3.68
5948809,3.94
5948810,6.52
5948811,15.69
5948812,1.98
5948813,1.62
5948814,1.77
5948815,1.36
5948816,5.08
5948817,4.78
5948818,2.36
5948819,2
5948820,2.21
5948821,17.07
5948822,16.22
5948823,7.51
5948824,5.39
5948825,1.84
5948826,1.06
5948827,2.1
5948828,1.55
5948829,5.31
5948830,1.01
5948831,5.21
5948832,1.47
5948833,1.24
5948834,8.09
5948835,13.33
5948836,6.47
5948837,25.71
5948838,7.01
5948839,2.2
5948840,7.17
5948841,3.47
5948842,1.61
5948843,1.74
5948844,1.52
5948845,1.55
5948846,14.74
5948847,1.03
5948848,26.16
5948849,5.31
5948850,2.1
5948851,1.31
5948852,8.25
5948853,3.41
5948854,6.99
5948855,1.69
5948856,1.28
5948857,1.31
5948858,1.09
5948859,5.58
5948860,2.1
5948861,32.08
5948862,1.53
5948863,1.27
5948864,13.3
5948865,1.25
5948866,80.17
5948867,1.32
5948868,1
5948869,4.36
5948870,1.01
5948871,1.29
5948872,9.28
5948873,2.12
5948874,1.05
5948875,1.04
5948876,14.46
5948877,3.89
5948878,1.61
5948879,5.42
5948880,1.16
5948881,4.97
5948882,3.42
5948883,1.21
5948884,4.26
5948885,3.07
5948886,78.9
5948887,2.79
5948888,2.67
5948889,70.39
5948890,2.13
5948891,87.2
5948892,1.24
5948893,1.48
5948894,2.94
5948895,4.32
5948896,5.53
5948897,3.92
5948898,1.56
5948899,1.41
5948900,1.18
5948901,2.09
5948902,1.07
5948903,1.73
5948904,1.38
5948905,1.63
5948906,2.69
5948907,1.18
5948908,1.44
5948909,2.55
5948910,1.48
5948911,11.05
5948912,5.16
5948913,1.58
5948914,1.87
5948915,1.86
5948916,2.97
5948917,5.33
5948918,1.03
5948919,1.35
5948920,1.06
5948921,2
5948922,1.14
5948923,2.95
5948924,1.99
5948925,2.83
5948926,2.16
5948927,2.38
5948928,1.87
5948929,2
5948930,2.07
5948931,1.93
5948932,1.64
5948933,20.05
5948934,1.39
5948935,3.37
5948936,2.28
5948937,4.28
5948938,10.14
5948939,5.98
5948940,1.93
5948941,1.71
5948942,1.52
5948943,1.53
5948944,1.74
5948945,3.86
5948946,1.45
5948947,2.04
5948948,1.56
5948949,2.21
5948950,1.23
5948951,1.11
5948952,1.39
5948953,1.54
5948954,1.27
5948955,7.99
5948956,1.07
5948957,4.89
5948958,1.15
5948959,19.91
5948960,1.22
5948961,5.68
5948962,1.27
5948963,5.71
5948964,2.32
5948965,42.19
5948966,5
5948967,1.62
5948968,1.5
5948969,8.63
5948970,6.26
5948971,1.4
5948972,4.81
5948973,13.4
5948974,1.26
5948975,1.04
5948976,8.94
5948977,1.5
5948978,1.33
5948979,1.1
5948980,3.68
5948981,2.07
5948982,1.46
5948983,5.82
5948984,15.29
5948985,2.85
5948986,1.27
5948987,1.09
5948988,3.44
5948989,1.66
5948990,2.44
5948991,1.34
5948992,1.39
5948993,4.83
5948994,1.06
5948995,1.17
5948996,2.57
5948997,1.26
5948998,6.28
5948999,17.89
5949000,57.51
5949001,2.1
5949002,7.92
5949003,3.08
5949004,39.66
5949005,11.42
5949006,11.55
5949007,14.97
5949008,0
5949009,1.04
5949010,15.15
5949011,1.04
5949012,2.81
5949013,1.1
5949014,1.68
5949015,2.08
5949016,1.42
5949017,5.07
5949018,1.35
5949019,16.92
5949020,1.13
5949021,5.08
5949022,12.25
5949023,1.41
5949024,163.81
5949025,1.01
5949026,1.52
5949027,2.4
5949028,1.15
5949029,2.37
5949030,7.59
5949031,1.2
5949032,1.38
5949033,1.36
5949034,3.07
5949035,1.61
5949036,4.35
5949037,2.53
5949038,2.77
5949039,3.5
5949040,1.27
5949041,1.09
5949042,2.17
5949043,2.28
5949044,4.41
5949045,1.89
5949046,1.39
5949047,2.98
5949048,1.04
5949049,1.12
5949050,1.19
5949051,19.24
5949052,1.7
5949053,1.28
5949054,2.06
5949055,1.33
5949056,2.12
5949057,1.48
5949058,1.39
5949059,1.47
5949060,1.29
5949061,2.05
5949062,1.54
5949063,1.05
5949064,20.05
5949065,1
5949066,10.77
5949067,1.18
5949068,1.13
5949069,3.46
5949070,1.43
5949071,6.76
5949072,20.77
5949073,2.71
5949074,1.52
5949075,21.91
5949076,1.83
5949077,1.13
5949078,7.59
5949079,9.5
5949080,8.3
5949081,3.84
5949082,2.53
5949083,1.1
5949084,6.56
5949085,1.48
5949086,2.25
5949087,1.86
5949088,1.04
5949089,1.98
5949090,5.24
5949091,1.9
5949092,3.45
5949093,26.23
5949094,2.34
5949095,1.08
5949096,1.26
5949097,2.01
5949098,1.2
5949099,1.24
5949100,5.12
5949101,1.07
5949102,5.96
5949103,2.85
5949104,1.37
5949105,2.9
5949106,1
5949107,1.5
5949108,1.63
5949109,1.02
5949110,1.42
5949111,1.14
5949112,6.95
5949113,1.34
